Date,Note
1/1/2022,new year
1/18/2022,thaipusam
2/1/2022,cny day1
2/2/2022,cny day2
4/19/2022,nuzulul quran
5/1/2022,labor day
5/2/2022,labor day replacement
5/3/2022,ied a fitr day1
5/4/2022,ied a fitr day2
5/15/2022,vesak day
5/16/2022,vesak day replacement
6/6/2022,agong's birthday
7/10/2022,hari raya haji
7/11/2022,hari raya haji replacement
7/29/2022,awal muharam replacement
7/30/2022,awal muharam
8/31/2022,national day
9/16/2022,malaysia day
10/9/2022,prophet muhammad birthday
10/10/2022,prophet muhammad birthday replacement
10/24/2022,deepavali
12/11/2022,sultan selangor birthday
12/12/2022,sultan selangor birthday replacement
12/25/2022,christmas day
12/26/2022,christmas day replacement
